ID,Title,Company,Link,Technologies
67,Lead Data Engineer,Gamingtec,https://jobs.dou.ua/companies/gamingtec/vacancies/306893/,"airflow, aws, azure, ci_cd, dbt, etl, great_expectations, kafka, kinesis, metrics, python, sql"
68,Data Engineer,OBRIO,https://jobs.dou.ua/companies/obrio/vacancies/288079/,"airflow, aws, data_mesh, etl, great_expectations, postgresql, python, rest_api, spark, sql"
69,Data Engineer (Lviv),VisiQuate,https://jobs.dou.ua/companies/visiquate/vacancies/302610/,"airflow, azure, ci_cd, etl, postgresql, python, snowflake, sql"
70,Python Data Engineer for AI,IT SmartFlex,https://jobs.dou.ua/companies/it-smartflex/vacancies/290153/,"azure, etl, nosql, postgresql, python, rest_api, sql"
71,Middle ML Engineer ( NLP Expertise ),LITSLINK,https://jobs.dou.ua/companies/litslink/vacancies/306731/,python
72,Data Operations Engineer (AWS Bedrock and SageMaker Focus),Monster Lead Group,https://jobs.dou.ua/companies/monster-lead-group/vacancies/306692/,"aws, ci_cd, data_lake, docker, etl, great_expectations, kubernetes, metrics, python, snowflake, terraform"
73,Data analyst (AdTech),Holding House,https://jobs.dou.ua/companies/holding-house/vacancies/283454/,"azure, etl, python, sql"
74,Senior AI Research Engineer,WiX,https://jobs.dou.ua/companies/wix/vacancies/281902/,"aws, azure, gcp, python"
75,Data Scientist / ML engineer (only Poland),Xenoss,https://jobs.dou.ua/companies/xenoss/vacancies/306604/,"azure, data_lake, etl, jupyter, python, spark, sql"
76,Senior/Lead Business Intelligence Engineer (part-time),WiserBrand,https://jobs.dou.ua/companies/wiserbrand/vacancies/306601/,"apache_nifi, aws, azure, etl, gcp, python, sql"
77,Senior Data Engineer,ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/306559/,"aws, etl, sql"
78,Інженер з експлуатації (ремонт та обслуговування оптичних модулів),Athlon Avia,https://jobs.dou.ua/companies/athlon-avia-unmanned-solutions/vacancies/297286/,python
79,Senior Analytic Engineer,VBET GROUP,https://jobs.dou.ua/companies/vbet-group/vacancies/306482/,"airflow, azure, dbt, etl, great_expectations, python, sql"
80,"Data Engineer (Outsourcing, Multi-Client Projects)",NoviCore,https://jobs.dou.ua/companies/novicore/vacancies/306449/,"apache_beam, aws, azure, ci_cd, dagster, dbt, docker, etl, gcp, great_expectations, kafka, kinesis, python, snowflake, spark, sql, terraform"
81,Senior/Lead Data Science/ML Engineer with AI experience,Grid Dynamics,https://jobs.dou.ua/companies/grid-dynamics/vacancies/306419/,
82,Senior Software Engineer (FinTech & Algorithms),Intela,https://jobs.dou.ua/companies/integrated-technology-laboratory-llc/vacancies/306403/,"azure, metrics, python"
83,Software Engineer — Data Engineering,Intela,https://jobs.dou.ua/companies/integrated-technology-laboratory-llc/vacancies/306393/,"clickhouse, etl, kafka, kubernetes, metrics, nosql, snowflake, sql"
84,Data Engineer,Brainstack,https://jobs.dou.ua/companies/brainstack/vacancies/306384/,"airflow, aws, data_lake, docker, etl, hadoop, kafka, kinesis, nosql, python, spark, sql"
85,Senior LLM / Gen AI Engineer,Zoral,https://jobs.dou.ua/companies/zoral/vacancies/283865/,"aws, azure, gcp, python"
86,Senior Data Engineer (AI and ML frameworks),Sigma Software,https://jobs.dou.ua/companies/sigma-software/vacancies/306243/,"azure, flink, gcp, graph, great_expectations, kafka, kubernetes, nosql, python, sql"
87,Data Infrastructure Engineer ID35383,AgileEngine,https://jobs.dou.ua/companies/agileengine/vacancies/306231/,"airflow, aws, azure, dbt, docker, etl, kafka, kubernetes, nosql, postgresql, python, snowflake, spark, sql, terraform"
88,Senior Data Analytics Engineer,Acropolium,https://jobs.dou.ua/companies/acropolium/vacancies/302193/,"aws, etl, gcp, postgresql, python, snowflake, sql"
89,Software Data Engineer,Burny Games,https://jobs.dou.ua/companies/burny-games/vacancies/300246/,"apache_beam, aws, azure, clickhouse, data_lake, delta_lake, flink, kafka, kubernetes, nosql, python, spark"
90,Lead Big Data Engineer (Java/Scala),GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/306161/,"azure, ci_cd, flink, great_expectations, kafka, python"
91,Big Data Engineer (Java/Scala),GR8 Tech,https://jobs.dou.ua/companies/gr8-tech/vacancies/306154/,"azure, docker, etl, flink, great_expectations, kafka, kubernetes, spark, sql"
92,Strong Junior/Middle Data Engineer,ПриватБанк,https://jobs.dou.ua/companies/privatbank/vacancies/306119/,"airflow, aws, azure, etl, gcp, nosql, postgresql, python, rest_api, sql"
93,Technical Lead/Architect — Data Engineering & Analytics (#2900),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/298307/,"azure, data_lake, data_mesh, snowflake"
94,Data Architect (#3437),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258420/,"azure, data_lake, data_mesh, snowflake, sql"
95,Middle/Senior Data AQA Engineer (#3042),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258401/,"ci_cd, etl, great_expectations, python, spark, sql"
96,Middle/Senior Data Engineer (Azure) (#3078),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/258397/,"azure, etl, great_expectations, python, sql, talend"
97,Senior Data Scientist (#3285),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/261521/,"aws, azure, gcp, python"
98,Senior Data Engineer (#3415),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/280876/,"airflow, aws, ci_cd, dbt, etl, great_expectations, kubernetes, python, snowflake, sql, terraform"
99,Senior Data Engineer,NerdySoft,https://jobs.dou.ua/companies/nerdysoft/vacancies/301841/,"aws, azure, etl, gcp, great_expectations, python, snowflake, sql"
100,Senior Data Engineer,MODUS X,https://jobs.dou.ua/companies/modus-x/vacancies/301870/,"aws, azure, ci_cd, etl, nosql, postgresql, spark, sql"
101,Data Engineer,Мрія,https://jobs.dou.ua/companies/mriia/vacancies/305915/,"ci_cd, etl, gcp, graph, great_expectations, metrics, python, sql"
102,Data Engineer,Vira Games,https://jobs.dou.ua/companies/vira-games/vacancies/305859/,"airflow, aws, ci_cd, data_lake, data_mesh, dbt, docker, etl, great_expectations, postgresql, sql"
103,Senior Data Engineer (US timezone),vilmate,https://jobs.dou.ua/companies/vilmate/vacancies/305857/,"airflow, aws, dbt, docker, etl, python, sql"
104,Senior Data Engineer,Intellectsoft,https://jobs.dou.ua/companies/intellectsoft/vacancies/305855/,"airflow, data_lake, dbt, delta_lake, etl, flink, great_expectations, kafka, python, spark, sql"
105,Computer Vision Engineer,SQUAD,https://jobs.dou.ua/companies/squad/vacancies/297659/,"docker, hadoop, kubernetes, nosql, sql"
106,Data Engineer,Binary Studio,https://jobs.dou.ua/companies/binary-studio/vacancies/305811/,"aws, azure, data_lake, elastic, etl, kafka, metrics, python, snowflake, spark, sql"
107,"Middle Data Support Engineer (Python, SQL) (#3385)",N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/298034/,"aws, azure, data_lake, etl, python, snowflake, sql"
108,Data Engineer (with Databricks) (#3204),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293631/,"azure, docker, etl, great_expectations, python, snowflake, sql"
109,Senior/Lead Data Engineer (#3239),N-iX,https://jobs.dou.ua/companies/n-ix/vacancies/293636/,"aws, ci_cd, docker, elastic, etl, flink, great_expectations, hive, presto, python, spark, terraform"
110,Data Engineer (Junior/Middle),Solidgate,https://jobs.dou.ua/companies/solidgate/vacancies/247187/,"airflow, aws, dbt, docker, etl, great_expectations, metrics, nosql, postgresql, python, sql"
